梘粉,梘盒,梘片,
噉樣,噉又係,噉又唔係,噉又唔係噃,噉又唔同,噉又點,噉又得,噉唔係,噉都好,噉都唔得,噉都唔得咩,噉都得,噉就弊,噉就啱,噉仲得掂,噉又唔系,噉又唔系噃,噉又系,
咁高咁大,咁嘅嘢,咁盟塞,咁盞,咁做,咁滯,咁遲先嚟,咁多年,咁多位,咁啱,咁晏,
枧粉,枧盒,枧片,
橺房,
䀹住,䀹住佢,
趷起,趷起身,趷起手指公,趷起條尾,趷腳,趷跛跛,
偈油,
嘅時,嘅時候,嘅樣,
搛菜,
嗰一晚,嗰個,嗰個係,嗰晚,嗰便,嗰排,嗰時,嗰處,嗰單畸士,嗰啲,嗰啲嘢,嗰度,嗰陣,嗰陣時,嗰種,嗰次,嗰條友,嗰條友仔,嗰只衰嘢,
躀跤,躀咗一跤,躀低,
癐拉拉,癐到死死嚇,
嚡嚡聲,
扻爛,扻崩頭,扻頭埋牆,
喺企,喺邊度,喺曬,喺處,喺度,喺屋企,
焮起嚟,焮烚烚,焮親,焮干,
囍帖,
熗鍋,
餼雞,
墟冚,墟墟冚冚,墟巴嘈閉,墟場,
揸筷子,揸開,揸二攤,揸緊時間,揸奶,揸拿,揸手,揸手掣,揸大葵扇,揸電單車,揸主意,揸住,揸住時機,揸住支咪,揸掣,揸錢,揸槍,揸的士,揸拖拉機,
钑骨,
盞鬼,
棹忌,
啫喱,
喩錢財從多方面進來,
擮胳肋底,
櫼隊,
摷一輪,
盅頭飯,
捽腳,捽老泥,
冚家,冚家富貴,冚家鏟,冚唪唥,冚佢一巴掌,
搇蓋,搇旗,搇佢一巴掌,搇你一巴掌,搇賭,搇鬥,搇檔,
蠄蟝,蠄蟧,蠄蟧絲網,
扱實隻蓋,扱得好冚,扱實只蓋,
鏹水,
蜞乸,
喼帽,喼弗,
繑火牛,繑起對手,繑口,繑冷,繑住手,繑脷,
搉頭殼,
佢份人,佢個人,佢嘅,佢哋,佢哋嘅,佢哋自己,佢哋自己嘅,佢自己,佢隻嘢,佢只嘢,
纊掕,纊埋,纊住,纊親,
揦西,揦手,揦住,揦鮓,揦脷,揦鲊,
擸一眼,擸嘢,擸光曬,擸擸炩,擸炩,擸埋,擸平嘢,擸曬網頂,
孻屘,孻仔,孻女,
瀨嘴唇,瀨屎窟,
冧歌,冧巴,冧巴溫,冧酒,冧屘,冧檔,
躝開,躝屍,躝屍趷路,
笠高帽,笠衫,笠遮,笠細路仔,
褸席,褸裙,
叻唔切,叻女,叻埠,叻架,叻幣,
僆瓊,僆模,僆妹,僆仔,僆女,
炩擸擸,
漯飯,漯蔗渣,
嚟緊,嚟唔得切,嚟呢度,嚟神,嚟自,嚟遲,嚟得啱,
脷苔,
襝衽,
嫽到,
攞翻,攞翻去,攞翻公道,攞苦嚟辛,攞起,攞過嚟,攞個籌掛號,攞嚟,攞嚟攪嘅,攞嚟講,攞嚟講嘅啫,攞嚟衰,攞嚟賤,攞嚟睇睇,攞落嚟,攞命,攞唔定主意,攞便宜,攞曬彩,攞到,攞獎,攞走,攞錢,攞籌,攞彩,攞車,攞景,
淥魚片,淥個麵,淥熟,淥熟曬,淥親,淥親手指,淥個面,
噒諄,噒欖核,
嘛嘛,嘛嘛哋,
蔴油,
摱雞,
擝實,擝出,擝槍,
踎大牌檔,踎低,踎低身,踎墩,踎塔,
孭飛,孭起,孭臊蝦仔,孭數,孭書包,孭上身,孭帶,孭債,孭住藥煲,孭仔,孭重飛,孭袋,
屘二,
搣爛,
喵嘴,喵喵嘴,
嚤佗,
唔好,唔好客氣,唔好喊,唔好預我,唔好喐,唔好計帶,唔好講,唔好啦,唔好心急,唔好嘈,唔好出聲,唔發市,唔化,唔化算,唔忿氣,唔方便,唔鹹唔淡,唔行得開,唔行得埋,唔好意思,唔好意頭,唔好飲,唔好食,唔好睇,唔好聽,唔響度,唔喺屋企,唔係,唔係呀嘛,唔係呀話,唔係好合,唔係幾,唔係幾似,唔係啩,唔係噉話,唔係嘅話,唔係路,唔合法,唔合理,唔合適,唔開心,唔開胃,唔可以,唔可能,唔興,唔要,唔要得,唔易做,唔一定,唔憂,唔應該,唔認數,唔認得,唔喐得,唔容易,唔合,唔記得,唔記得咗,唔見咗,唔見得人,唔見得光,唔高興,唔怪乎,唔怪之得,唔關你事,唔關事,唔關我事,唔計帶,唔敢,唔緊要,唔夠,唔夠瞓,唔夠佢嚟,唔夠佢打,唔夠佢爭,唔夠佢鬥,唔夠力,唔夠攝牙罅,唔夠埞方,唔該,唔該曬,唔該借歪,唔覺意,唔覺眼,唔經唔覺,唔公平,唔禁,唔禁著,唔禁等,唔近,唔理,唔撈,唔落得手,唔論,唔明,唔難,唔挐耕,唔能,唔耐,唔耐煩,唔怕,唔怕醜,唔生性,唔少,唔小心,唔少得,唔舒服,唔相信,唔想,唔使,唔使慌,唔使客氣,唔使一陣,唔使憂,唔使咁火滾,唔使咁謙噃,唔使講,唔使驚,唔使問阿貴,唔使唔該,唔使送呀,唔使指擬,唔使做,唔實際,唔受得,唔聲,唔捨得,唔識佢,唔識路,唔識死,唔識衰,唔識字,唔識轉彎,唔識唱歌,唔識睇,唔識聽,唔食力,唔食雜,唔信,唔需要,唔衰攞嚟衰,唔衰得,唔單止,唔單止噉,唔搭界,唔打得都睇得,唔掂,唔掂諗到掂為止,唔到你,唔道德,唔盞,唔習慣,唔知,唔知好醜,唔知死,唔知道,唔知醜,唔至於,唔志在,唔止,唔做,唔制,唔制得過,唔走得,唔在講,唔值得,唔正常,唔准,唔鍾意,唔中用,唔重要,唔切,唔似,唔似樣,唔睬佢,唔錯,唔清楚,唔出聲,唔抵,唔抵幫,唔得,唔得閒,唔得掂,唔得切,唔等使,唔多,唔定,唔對路,唔通,唔通氣,唔同,唔同意,唔話得,唔會,唔會啩,唔會嘅,唔為得過,唔啱,唔啱傾,唔啱數,唔啱咀形,唔安樂,唔安全,唔喺度,唔識,唔系,唔系呀嘛,唔系呀話,唔系好合,唔系幾,唔系幾似,唔系啩,唔系噉話,唔系嘅話,唔系路,唔舍得,唔鐘意,唔得閑,
冇嘢講,冇水,冇法啦,冇法子,冇口齒,冇興趣,冇研究,冇腰骨,冇耳性,冇陰功,冇癮,冇人,冇人吼,冇人敢聲,冇人幫襯,冇人錫,冇嘢,冇嘢呀嘛,冇嘢到,冇解,冇家教,冇記性,冇幾耐,冇關係,冇鬼用,冇計,冇偈傾,冇咁易,冇咁大個頭唔好戴咁大頂帽,冇個啱,冇公德心,冇釐搭霎,冇料,冇料到,冇路數,冇路走,冇面,冇問題,冇紋冇路,冇乜,冇乜把炮,冇乜點,冇乜揸拿,冇挐耕,冇挐冇褦,冇挐褦,冇你咁好氣,冇奈何,冇辦法,冇表情,冇本心,冇品,冇譜,冇曬符,冇曬符弗,冇曬姣氣,冇曬聲氣,冇散紙續,冇事,冇事幹,冇時間,冇心,冇心肝,冇修,冇手尾,冇所謂,冇醒起,冇大冇細,冇膽,冇啖好食,冇啲挐褦,冇做過,冇再講啦,冇錢使,冇穿冇爛,冇錯,冇出息,冇得瞓,冇得揀,冇得傾,冇得傾呀,冇得做,冇得走趲,冇得頂,冇得彈,冇埞放,冇埞企,冇埞埋手,冇埞踎,冇埞匿,冇埞泊車,冇埞使,冇埞走,冇王管,冇銀,冇銀喺手,冇走趲,冇眼睇,冇關系,冇事干,
挐褦,
乸型,
焫雞,焫傷,焫咗,焫親,
蝻蛇,
諗翻,諗法,諗嚇,諗計,諗計仔,諗唔明,諗唔掂,諗唔到,諗唔通,諗諗嚇,諗住,諗清諗楚,諗頭,諗通,
腍啤啤,
嬲好定笑好,嬲爆爆,嬲死,嬲到震,
耨喉,耨市,
挜開,挜開對腳,挜埞,挜位,
餲堪堪,
嗌嘢,嗌嘢食,嗌交,嗌救命,嗌通街,
啱偈,啱蹺,啱唔啱,啱先,啱心水,啱啱,啱啱要,
揞住,揞住嘴笑,
扲袋,
奀妹,奀細,奀仔,
罨汁,
扤實,
吽仔,吽哣,
噅求,
屙爛屎,屙尿,屙屁,屙屎,屙肚,
蕹菜,
搈落,搈人,
擙落嚟,擙唔到,
姩罅,
蟛蜞,
剕鉛筆,剕菠蘿皮,剕蘋果,
骿骨,
甫士,甫士咭,
嘥氣,嘥鬼氣,嘥時間,嘥心機,嘥心機捱眼瞓,嘥聲壞氣,嘥地方,嘥到一錢不值,嘥撻,嘥心機挨眼瞓,
糝芝麻,
梣樹,
睄佢一眼,
豉油,豉油碟,
嗍氣,嗍鼻,嗍曬氣,嗍啖煙,
餸飯,餸籃,餸頭餸尾,
軚盤,
嗿人,嗿人歡喜,
氹氹轉,
揗雞,揗嚟揗去,揗曬雞,揗揗震,
唞嚇,唞氣,唞工,唞涼,唞啖氣,
睇法,睇化,睇風水,睇嚇,睇嚇咧,睇嚇先,睇嚇點,睇戲,睇起,睇起嚟,睇起上嚟,睇好,睇開,睇開啲,睇樣,睇夜,睇更,睇見,睇過點,睇佢幾好,睇嚟,睇嚟湊,睇老婆,睇落,睇脈,睇唔起,睇唔開,睇唔入眼,睇唔見,睇唔明,睇唔到,睇唔真,睇唔切,睇唔清,睇唔出嚟,睇霸王戲,睇波,睇病,睇舖,睇山,睇死,睇小,睇數,睇書,睇相,睇上眼,睇實,睇衰,睇水,睇水色,睇餸食飯,睇大戲,睇電視,睇到,睇住佢頭,睇住嚟,睇鐘數,睇穿,睇錯,睇清楚,睇低,睇得化,睇得起,睇得明,睇得出,睇檔,睇定,睇勻,睇啱,睇牛,睇唔過眼,睇鋪,
佗累,佗手褦腳,佗衰,佗衰家,佗住細路,佗仔,佗人,
劏房,劏開,劏魚,劏光豬,劏雞,劏死牛,劏西瓜,劏豬,劏車,
揾翻,揾飯食,揾鹽腌,揾人,揾人幫手,揾人出氣,揾嘢做,揾機會,揾工,揾嚟攪嘅,揾嚟辛苦,揾老襯,揾乜嘢,揾唔翻,揾唔到,揾邊個,揾笨,揾山草藥,揾世界,揾食,揾繩綁,揾到,揾著數,揾周公,揾錢,揾出,揾出嚟,揾丁,揾位,揾位坐,揾勻,揾銀,揾我做醜人,揾我出氣,揾刀切,揾水洗,
韞黑房,韞入黑房,
搲花,搲痕,搲爛,搲損,搲料,搲水,搲銀,
煨番薯,
跴單車,
衽席,
髹灰水,
嘢埋我,
躽胸,躽起個大肚腩,躽胸凸肚,
喐喐貢,喐不得其正,喐身,喐身喐勢,喐手,喐手喐腳,喐手打人,喐啲,喐啲就,喐動,
吖嗱,吖啶,
叆叇,
肮髒,肮肮髒髒,
獒犬,
菝葜,
齙牙,
甭客氣,
鏰子,
狴犴,
贔屭,
赑屃,
晡禮,
齔年,齔童,
彳亍,
糍粑,
跐溜,跐著門檻,
焠鍊,焠煉,
啐唾沫,
妲己,
岱山,
眈天望地,眈眈,
癉瘧,癉熱,癉暑,
亶厚,亶信,
疍家,疍民,
蝮蛇,
尕娃,尕驢兒,
淦水,
紇繨,
仡佬族,
軲轆,
柺棍,柺杖,
膕窩,
腘窩,
餄餎,
饸饹,
瘊子,
笏板,
覊絆,覊押,覊押庭,
殛斃,
芰荷映水,
瘕聚,
槳櫓,
婕妤,
鱠魚,
鲙魚,
劻勷,
喹啉,
鰳魚,
嫘縈,嫘祖,
傈僳族,
鞔鼓,鞔鞋,
墁地,
縵帛,縵立,縵縵,
嘧啶,
冪數,
靺鞨,
仫佬族,
囔囔,
猱升,猱雜,
瑙魯,
囁嚅,
匏瓜,
蜱蟲,
袷袢,
拤腰,
髂骨,
蜣螂,
犰狳,
蠼螋,蠼猱,
苣蕒菜,苣荬菜,
蚺蛇,
蘘荷,
膻味,
騸雞,騸馬,
猞猁,
鰣魚,
豕食丐衣,
謚號,
俟機,
鷫鸘,
枱腳,枱薦,枱布,枱枱凳凳,枱面,
檮杌,
讬兒所,
脘腹,
葳蕤,
嫺熟,
跣跤,跣腳,跣落,跣落去,跣咗一跤,跣咗一腳,跣足,
獬豸,
屑屑,屑屑小事,屑意,屑子,
胥吏,
壎篪相和,
塤篪相和,
猰貐,
堰塞湖,
鰩魚,
彞族,
癔病,
劓殄,
鱅魚,
鳙魚,
佑助,
蕓薹,
慥慥,
鋥亮,
拽不動,
斫鼻,斫伐,斫輪,斫輪老手,斫木,斫木為舟,斫喪,斫樹,斫營,
丐幫,
丕業,丕變,丕顯,
麼麼唱唱,麼兒,麼喝,麼妹,麼弟,麼爺,
乎呼,乎嚕,
乩童,
亳縣,
亹亹,亹亹不倦,亹亹不卷,
仟克,仟卡,
仳離,
件數,
伕子,
伢子,
佈置,佈防,佈告,佈局,佈局博弈,佈雷,佈施,佈陣,佈下,佈哨,佈崗,佈景,佈滿,佈線,佈署,佈道,佈道大會,佈達,佈達式,佈雷艇,佈雷隊,
佔人便宜,佔好位子,佔優勢,佔有慾,佔有權,佔有率,佔用,佔據,佔領,佔領軍,佔領區,佔領地,佔便宜,佔線,佔上風,佔盡,佔多數,佔位,佔為,佔為己有,佔地方,佔位置,佔著茅坑不拉屎,佔下,佔了,佔住,佔佔,佔個,佔先,佔光,佔到,佔去,佔取,佔在,佔地,佔城,佔好,佔得,佔掉,佔滿,佔著,佔起,佔起來,佔過,佔過來,佔過去,佔領者,
佘太君,
佚失,
併發症,併吞,併入,併列,併到,併合,併吞下,併在,併成,併排,併攏,併案,併案處理,併為,併發,併科,併購,併進,
佾生,佾舞,佾舞生,
侏儒,侏羅紀,侏儸紀,
侷促,侷限,
係呀,係人都,係人都唔,係人都知,係噉噶啦,係路,係囉,係咪,係咪真嘅,係唔係,係你先至好講呀,係數,係為,
俐落,
俺們,
俾使,俾倪,俾斯麥,俾晝作夜,俾能,俾資挹注,
倖免,倖免於難,倖存,倖存者,倖幸,
倣古,倣效,倣真,
倪嗣沖,倪瓚,倪雲林,
偺們,
傚法,
傢具,傢俬,傢俱,傢俬舖,傢伙,
傭人,傭工,傭兵,傭懶,傭書,傭金,
僇辱,
僥倖,僥幸逃生,僥幸獲勝,僥幸,僥倖取勝,
僭建,僭號,
僮僕,
僱主,僱傭,僱員,僱人,僱佣,僱到,僱工,僱用,僱農,
儐相,
儘快,儘裡頭,儘力,儘其所有,儘數,儘先,儘早,儘著,儘自,儘儘,儘是,儘速,
儷辭,儷人,
儹積,儹錢,
兇神惡,兇神惡殺,兇徒,兇兇的,兇惡,兇殘,兇悍,兇狠,兇猛,兇煞,兇兇,兇兇惡惡,兇兇狠狠,兇器,兇嫌,兇宅,兇得,兇得狠,兇暴,兇案,兇殺,兇殺案,兇犯,兇的,兇神惡煞,兇起來,兇險,
兗州,
兢兢業業,
冼星海,
冽泉,
凰鳳,
刈草,刈包,刈稻,刈草機,
剁碎,剁成,
剉冰,
剋星,剋服,剋制,剋死,剋薄,
剴切,剴切教導,剴切詳明,剴切中理,
剷青,剷出,剷平,剷除,
勗勉,
勳章,勳業,勳爵,
匐伏,匐匍,
匟床,
匯款,匯合,匯集,匯價,匯市,匯入,匯出,匯報,匯差,匯成,匯款人,匯款單,匯水,匯流,匯流排,匯流處,匯流點,匯為,匯率,匯率差額,匯票,匯編,匯編語言,匯總,匯聚,匯豐銀行,匯費,匯錢,匯集點,匯電,
卅一,卅七,卅三,卅九,卅二,卅五,卅八,卅六,卅四,
卞梁,
卹金,
厥功甚偉,厥為,
叼著一支煙,叼著,叼走,
吩咐,
吶喊,吶喊助威,吶喊助陣,
呀呀,呀呀學語,
呻吟,
咚咚,咚咚聲,
咩嘢,咩都唔驚,咩咩,咩咩叫,
咭片,咭吱咯吱,咭咭,
哦呵,哦喲,
唄唱,唄讚,
唬人,唬住,唬來唬去,唬弄,唬得,唬爛,
唸佛,唸口黃,唸經,唸咒,唸唸有詞,唸一些,唸一唸,唸下去,唸了,唸作,唸來唸去,唸到,唸唸,唸好,唸完,唸得,唸成,唸書下去,唸法,唸給,唸著,唸起來,唸過,唸錯,唸點,
唼唼,唼氣,唼眼,唼血,
啁啾,
啊呀,啊哈,啊唷,
啣接,
啦啦亂,啦啦聲,啦啦林,啦啦隊,啦啦隊員,啦啦隊長,啦瘌,
啷口,啷口盅,啷鐺,
喃喃自語,喃喃,喃喃地,
喋血,喋喋不休,喋喋,喋血記,
喔唷,喔喔,喔喔叫,喔嚄,
喫飯,喫官司,喫肉,喫苦,喫茶,喫飯防噎,喫香,喫驚,
嗆著了,嗆了,嗆到,嗆得,嗆的,嗆起來,嗆鼻,
嗎啡,嗎玩意兒,
嗑牙,嗑藥,
嗝兒,
嗨喲,嗨嗨,
嗩吶,
嗯嗯,
嗲哋,嗲哋媽咪,嗲聲嗲氣,嗲地,
嗶哩啪啦,嗶嗶扣,嗶嗶聲,嗶嘰,
嗽血,
嘍口,嘍嘍,嘍囉,
嘓嘓,
嘜頭,
嘵嘵,
嘸蝦米,
噁心,
噎到,噎住,噎著,
噘嘴,噘嘴兒,
噥噥,
噹啷,噹噹,
嚐鮮,嚐了,嚐來嚐去,嚐個,嚐出,嚐到,嚐嚐,嚐試,嚐點,
嚕哩嚕囌,嚕哩嚕蘇,嚕囌,嚕蘇,
嚘然而止,
嚙齒類,嚙合,
嚥口水,嚥不下,嚥氣,嚥下,嚥下去,嚥不下這口氣,嚥喉,嚥頭,
嚮導,嚮往,嚮導公司,嚮導員,嚮應,嚮日,嚮邇,
嚶嚶,
嚾呼,
囉氣,囉柚,囉攣,囉囉攣,囉噃,囉哩囉唆,囉唆,囉嘍,囉囉唆唆,囉囉嗦嗦,
囝仔,
囹圄,
囿於一時,囿於成見,
圉限,
圜鑿方枘,
圮毀,
圳溝,
坌集,
坳塘,
埔心,埔心鄉,埔裡,埔裡鎮,埔鹽,
埤頭,埤頭鄉,
埴土,
堊室,堊帚,堊慢,堊粉,
堙沒,堙曖,堙窒,
壺中物,壺內,壺口,壺嘴,壺外,壺底,壺狀,壺盧,壺裡,
夔夔,夔峽,
夥伴,夥計,夥友,夥同,夥眾,
夷為平地,夷人,
奱異,
奼紫,奼紫嫣紅,奼紫焉紅,
妣考,
妮子,
妯娌,
妳們,妳們的,妳在,妳好,妳好嗎,妳妳,妳愛,妳是,妳會,妳有,妳的,妳自己,
妾侍,妾婦,妾身,
姆指,姆指山,
姍姍來遲,姍笑,
姝麗,
姦夫,姦夫淫婦,姦婦,姦情,姦殺,姦汙,姦淫,姦淫擄掠,姦邪,
姪心抱,姪仔,姪女,姪女兒,姪女婿,姪孫,姪孫女,姪婿,姪子,姪婦,
姬妾,
娉婷,
娓娓而談,娓娓動聽,娓娓,
婀娜多姿,婀娜,
婊子,
媧杆,媧桿,媧輪,
嫋娜,嫋嫋,
嫦娥奔月,嫦娥,
嫵媚,嫵媚動人,
嬤嬤,
嬪妃,嬪從,
孌生兒,孌童,
孚眾望,
孛人,
孰能無過,孰可忍孰不可忍,孰知,孰能,孰與,孰若,孰謂,
宙斯,
尥蹶子,
尷尬,
屐齒,
岷江,
峙立,
峪口,
峴港,
崁頂,
崆峒,崆峒山,
崑腔,崑曲,崑崙山,崑崙,崑山,崑山工專,崑山科技大學,崑山高級中學,崑崙山脈,
崙背,
崚嶒,
崢嶸,
嵇康,
嵌入,嵌入式,嵌塊,嵌石,嵌鑲,
嵩山,嵩縣,
嵯峨,
巖巖巉巉,巖居,巖居穴處,巖層,巖心,巖洞,巖溶,巖漿,巖石,巖礁,巖穴,巖鹽,
州長,州名,州官,州官放火,州牧,州界,州立,州立大學,州縣,州郡,州裡,州際,州際公路,
帑藏,
帚子,帚柄,
幀頻,
幹雜工,幹活,幹將,幹勁,幹勁衝天,幹嗎,幹嘛,幹上,幹下去,幹了,幹事,幹事會,幹些,幹什麼,幹個,幹個夠,幹勁兒,幹勁十足,幹員,幹壞事,幹完,幹得,幹得了,幹性油,幹才,幹校,幹活兒,幹流,幹球溫度,幹甚麼,幹線,幹練,幹群關係,幹警,幹起來,幹路,幹道,幹麼,
庋藏,
廈門,廈房,廈門人,廈門市,
廒間,
廖述良,
廷尉,廷布,廷杖,廷長,
廿八歲,廿四,廿一,廿七,廿三,廿九,廿二,廿五,廿八,廿六,
弈具,弈棋,
弒君,弒君大罪,弒母,弒父,
弔胃口,弔奠,弔古尋幽,弔詭,弔祭,弔客,弔民伐罪,弔喪,弔書,弔慰,弔文,弔問,弔孝,弔宴,弔卷,弔古,弔嗓子,弔掛,弔架,弔桶,弔死,弔死鬼,弔籃,弔臂,
弗到漏油,弗洛伊德,弗蘭格爾,
彆扭,彆拗,彆氣,彆腳,彆著,
彥士,
彫像,彫刻,彫刻刀,彫刻品,彫刻家,彫刻術,彫塑,彫塑品,彫塑家,彫弓,彫殘,彫漆,彫版,彫琢,彫花,彫飾,彫飾品,
彬彬有禮,彬彬,
彷徨,彷彿,彷徉,
徂暑,徂謝,徂逝,
很要好,很興奮,很好,很可憐,很晚,很累,很悶,很近,很聰明,很漂亮,很不專心,很久很久以前,很擁擠,很曝曬,很能幹,很陡,很投機,很小的嫌隙,很簡單,很適合你,很高大,很乾淨,很無聊,很生氣,很斯文,很笨,很難說,很餓,很兇,很能干,很干淨,很凶,很薄,很不錯,很差,很差勁,很少,很像,很不,很乾,很亮,很低,很使,很來,很僵,很受,很可惜,很可能,很喜歡,很圓,很壞,很多,很夠,很大,很大程度上,很對,很小,很尖,很得,很快,很怕,很急,很恨,很想,很愛,很慢,很扁,很擠,很敢,很新,很早以前,很是,很暗,很會,很有,很毒,很氣,很沒,很油,很渴,很溼,很濕,很為,很熟,很狠,很甜,很瘦,很直,很短,很細,很給,很美,很胖,很能,很舊,很苛,很講,很讓,很趕,很酷,很長,很難,很香,很高,
徘徊不前,
徜徉,徜徉於,
徨徨,
徬徨,
徯徑,
忉利天,忉忉,忉怛,
忐忑不安,
忝然,
忮求,
忸怩,忸忸怩怩,忸怩不安,忸怩作態,
怖懼,
怦然,怦怦亂跳,
恙蟲,
恚怒,恚恨,恚憤,
恟恟,
悃誠,
悒鬱,悒郁,悒悒,悒悒不快,悒悒不樂,悒悒不歡,悒悒不然,悒然,悒鬱寡歡,
您真的很關心我,您們,您好,您要,您說,
悸動,悸慄,
悽切,悽厲,悽怨,悽悽,悽惻,悽愴,悽慘,悽戾,悽楚,悽涼,悽然,悽苦,悽豔,悽酸,
惇篤,惇樸,惇厚,惇惇,惇睦,惇誨,惇謹,
惛懵,
愀然,愀然變色,
愒時,
愷切,愷悌,
愾憤,
慇勤,慇勤招待,
慟哭,
慴伏,
慵懶,
慼慼,
憍慢,
憔悴,憔悴不堪,
憚改,憚煩,
懋績,
懍厲,懍懍,懍然,
懞懂,
懨懨,懨懨縮縮,懨煎,
戔戔,
戚家軍,戚容,戚屬,戚戚,戚然,戚繼光,戚舊,戚誼,
戟狀,
戾氣,
扔遠一點,扔到街道上,扔下,扔掉,扔棄,扔上,扔上來,扔上去,扔下來,扔下去,扔來,扔來扔去,扔出,扔出來,扔出去,扔到,扔去,扔回,扔回來,扔回去,扔在,扔在腦後,扔給,扔起,扔起來,
扞拒,扞格,扞禦,
抆屎,抆拭,抆淚,
拄著,
拏空,拏雲,拏雲攫石,
拮肉,拮親,拮出血,拮據,
拴上,拴上來,拴上去,拴住,拴在,拴繩,拴著,拴鎖,拴馬,
捨不得,捨棄,捨己為人,捨近求遠,捨命,捨去,捨生取義,捨生忘死,捨出,捨命陪君子,捨己從人,捨己為公,捨己為國,捨得,捨我其誰,捨本逐末,捨死忘生,捨生,捨短取長,捨身,捨身報國,捨身救人,捨車保帥,
捱餓,捱苦,捱更抵夜,捱飢抵冷,捱餓受凍,捱飢抵餓,捱騾仔,捱白飯,捱生捱死,捱世界,捱打,捱得苦,捱肚餓,捱眼瞓,捱罵受挫,捱悶雷,捱日子,捱上,捱了,捱了過來,捱了過去,捱到,捱得,捱得住,捱的,捱肩擦背,捱著,捱近,捱過,捱過來,捱過去,
捲尺,捲舖蓋,捲逃,捲住,捲來,捲來捲去,捲兒,捲入,捲入漩渦,捲動,捲動門,捲去,捲圖,捲土重來,捲心菜,捲成,捲曲,捲款逃走,捲毛,捲煙,捲煙盒,捲筒,捲筒紙,捲簾,捲紙,捲縮,捲舌,捲舌音,捲菸,捲袖,捲走,捲起,捲起來,捲軸,捲鋪蓋,捲雲,捲風,捲髮,捲髮器,
捵麵,
捺印,
掄拳,掄刀,掄材,掄棍,掄起,
掖尿布,掖給,掖進去,掖滿,掖在懷裡,掖門,掖省,掖庭,掖垣,掖縣,
採訪,採擷,採購,採納,採取,採煤,採取措施,採取行動,採下,採下來,採下去,採伐,採住,採信,採光,採到,採制,採區,採去,採回,採回來,採回去,採在,採好,採得,採掘,採採,採摘,採擇,採料,採暖,採桑,採樣,採樣法,採油,採為,採煤礦,採珠,採用到,採的,採石場,採石廠,採砂場,採礦,採礦工,採礦工業,採礦工程,採礦方法,採礦業,採種,採空區,採給,採花,採茶,採藥,採行,採訪員,採訪新聞,採訪編輯,採訪記者,採買,採購供應,採購供應站,採購員,採購團,採購站,採購規則,採辦,採過,採過來,採過去,採邑,採集法,採集起來,採食,
掬氣,掬水,掬誠,
揍了,揍人,揍得,揍過,
揎拳捋袖,揎拳擄袖,揎拳裸袖,
揶揄,
揹黑鍋,揹書,揹書包,揹包袱,揹負,
搔癢,搔到癢處,搔手,搔擾,搔頭,搔頭摸耳,搔首,
搥打,搥背,搥胸,搥胸頓足,搥鼓,
搧動,搧耳光,搧開,搧風,
搨本,搨碑,
搯出來,搯耳朵,
搽粉,搽著,搽藥,
搾取,搾渣,搾甘蔗,
摀住,摀蓋,
摑耳光,摑一巴掌,摑你一個耳光,摑手,
